序号,披露日期,承租人,承租人所属集团,承租人企业类型,承租人科技型称号,承租人负面信息,承租人经营状态,承租人-法定代表人,承租人-联系电话,出租人,出租人企业类型,出租人-法定代表人,出租人-联系电话,融资额（万元）,融资额币种,财产价值（万元）,财产价值币种,期限,起始日期,截止日期,最新登记状态,租赁财产描述,申万行业一级,国标行业门类,国标行业大类,承租人所属地区,出租人所属地区,文件来源
1,2025-06-18,山东超和食品有限公司,,民企,,,在营,徐明,18653660562,远东宏信(天津)融资租赁有限公司,"国企,发债",孔繁星,022-83812843,,,"2,072.07",CNY,2.66年,2025-05-30,2028-01-29,变更登记,详见附件。,农林牧渔,制造业,农副食品加工业,山东-临沂-沂南,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
2,2025-06-17,山东源顺智能科技有限公司,,民企,"高新技术企业,科技部科技型中小企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,张建顺,0539-8651088,西门子财务租赁有限公司,,休伯特·博斯布姆(HUBERTUS BORSBOOM),010-64762634,,,"1,880.00",CNY,6年,2025-05-13,2031-05-12,变更登记,"40台 A630-21-12 转盘式组合钻攻中心(详见设备清单)；40台 6-500 全自动阀杆铣槽(详见设备清单)电子发票号码：25332000000194471600, 25332000000256727682,25332000000256747555, 25332000000256776421,25332000000256825726, 25332000000256910856",综合,制造业,金属制品、机械和设备修理业,山东-临沂-兰山,北京-朝阳,租赁融资事件-租赁资产价值1000-5000_5月
3,2025-06-06,乌鲁木齐市盛天隆投资有限公司,乌鲁木齐城市建设投资(集团)有限公司,"国企,城投子公司",,,在营,张可学,0991-4186865,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"4,039.71",CNY,3.5年,2025-05-29,2028-11-28,变更登记,设备一批，详见附件,综合,租赁和商务服务业,商务服务业,新疆-乌鲁木齐-沙依巴克,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
4,2025-06-06,乌鲁木齐市盛天隆投资有限公司,乌鲁木齐城市建设投资(集团)有限公司,"国企,城投子公司",,,在营,张可学,0991-4186865,国耀融汇融资租赁有限公司,"国企,发债",黄德炜,021-38601288,,,"4,039.71",CNY,3.5年,2025-05-29,2028-11-28,变更登记,设备一批，详见附件,综合,租赁和商务服务业,商务服务业,新疆-乌鲁木齐-沙依巴克,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
5,2025-06-06,浙江晶睿电子科技有限公司,,民企,"国家级专精特新""小巨人""企业,高新技术企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,张峰,0578-2705368,芯鑫融资租赁有限责任公司,"国企,发债",孔令夷,021-61769999,,,"2,020.87",CNY,2.16年,2025-05-30,2027-07-29,变更登记,净值20208727.39元的生产设备一批，详见附件租赁物清单,计算机,制造业,计算机、通信和其他电子设备制造业,浙江-丽水-莲都,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
6,2025-06-04,颍上开元产业园运营管理服务有限公司,安徽颍发投资集团有限公司,国企,,,在营,常婷,0558-4715509,安徽中安融资租赁股份有限公司,"国企,发债",谷峰,66109612,,,"4,498.55",CNY,3.5年,2025-05-27,2028-11-26,变更登记,租赁物为全自动机械手四轴数控精雕机、全自动印刷生产线、全自动智控光刻机和全自动激光蚀刻机等，位于安徽省阜阳市颍上县经开区，供应商为安徽安之泰智能设备有限公司，租赁物发票号为25342000000087703594、25342000000087705325、25342000000087709391、25342000000087726695、25342000000087734201、25342000000087977429、,建筑装饰,建筑业,土木工程建筑业,安徽-阜阳-颍上,安徽-合肥-蜀山,租赁融资事件-租赁资产价值1000-5000_5月
7,2025-06-03,山东洗之郎智能科技有限公司,,民企,"高新技术企业,科技部科技型中小企业,省级""专精特新""中小企业,省级创新型中小企业",,在营,王天琪,15165012869,青岛财通融资租赁有限公司,"国企,发债",徐惠,0532-88961516,,,"1,004.06",CNY,2.16年,2025-05-26,2027-07-25,变更登记,本融资租赁项目为售后回租业务，租赁物所有权自山东洗之郎智能科技有限公司转移至青岛财通融资租赁有限公司，评估值总价为人民币10040574.03元。租赁物为山东洗之郎智能科技有限公司用水服务相关设,综合,科学研究和技术服务业,科技推广和应用服务业,山东-济南-历城,山东-青岛-黄岛,租赁融资事件-租赁资产价值1000-5000_5月
8,2025-06-03,连云港海州湾全域旅游投资有限公司,江苏海州湾控股集团有限公司,"国企,城投子公司",,,在营,张方方,0518-82308750,扬州经开融资租赁有限公司,国企,林彬,0514-87863221,,,"4,200.00",CNY,3.08年,2025-05-30,2028-06-29,变更登记,本次融资租赁项目租赁资产为智能管理设施，主要包括服务器机组及其附属设备、智能一体化语音设备、高清显示屏设备、智能调度系统设备等，总计数量为76项，详见租赁财产清单。,综合,租赁和商务服务业,商务服务业,江苏-连云港-连云,江苏-扬州-邗江,租赁融资事件-租赁资产价值1000-5000_5月
9,2025-06-03,江苏奕帆农业科技有限公司,滨海县农水控股集团有限公司,"国企,城投子公司",,,在营,沈耀国,0515-84432990,上海连瑞融资租赁股份有限公司,"国企,发债",霍劲如,021-68418089,,,"4,655.75",CNY,3.5年,2025-05-19,2028-11-18,变更登记,大米加工设备(详见附件租赁物清单),社会服务,科学研究和技术服务业,专业技术服务业,江苏-盐城-滨海,上海-浦东,租赁融资事件-租赁资产价值1000-5000_5月
10,2025-05-30,钦州昊昇新能源开发有限公司,,民企,,,在营,丁锡参,0574-59953102,中信金融租赁有限公司,国企,李刚,010-53939600,,,"3,834.09",CNY,25年,2025-05-30,2050-05-29,初始登记,位于广西钦州市322套，户用光伏发电系统设备，容量11598.72KW，价值：38340878元,综合,科学研究和技术服务业,科技推广和应用服务业,广西-钦州-钦北,天津-滨海,租赁融资事件-租赁资产价值1000-5000_5月
